Assembly CG,Outline,Subpackage,Leadframe 12NC,Leadframe supplier,Rough?,Lead design,Square,Area,Unit per strip,Dimple?,Wire type,Compound,Taping,cat_ppm
0,41,76,19,1,0,2,0,8.75,1496,1,0,0,1,A
1,42,77,22,1,0,2,0,11.25,972,1,0,0,1,A
2,12,15,47,1,0,2,1,25,473,2,0,0,1,A
3,32,64,14,1,0,2,1,16,689,1,0,0,1,A
4,40,74,79,1,1,2,1,9,1173,1,0,3,1,A
5,40,73,31,1,0,2,1,9,1173,1,0,0,1,A
5,40,75,79,1,1,2,1,9,1173,1,0,3,1,A
6,34,66,11,1,0,2,1,25,473,1,0,0,1,A
6,34,67,29,0,1,2,1,25,473,1,0,0,1,A
7,50,88,65,1,1,2,1,16,855,1,1,3,1,A
8,13,16,13,1,0,2,1,16,689,1,0,0,1,A
9,14,17,12,1,0,2,1,16,689,1,0,0,1,A
9,14,18,28,1,0,2,1,16,689,2,0,0,1,A
9,14,19,48,1,0,2,1,16,689,2,0,0,1,B
9,14,20,64,1,1,2,1,16,689,1,0,1,1,B
9,14,21,53,1,1,2,1,16,689,2,1,3,1,A
10,54,92,5,1,0,2,1,25,473,1,1,1,1,A
11,45,80,75,0,1,2,1,36,324,0,1,3,0,B
12,19,35,6,1,0,2,1,25,473,1,0,0,1,A
12,19,36,6,1,0,2,1,25,473,1,1,1,1,A
13,15,30,9,1,0,2,1,25,473,1,0,0,1,A
13,15,31,39,1,0,2,1,25,473,1,0,0,1,A
13,15,32,58,1,0,2,1,25,473,2,0,0,1,A
13,15,33,24,0,1,2,1,25,473,1,0,0,1,A
13,15,34,60,1,1,2,1,25,473,2,1,1,1,A
14,49,87,4,1,0,2,1,49,248,1,0,0,1,A
15,18,22,10,1,0,2,1,25,473,1,0,0,1,A
15,18,23,32,1,0,2,1,25,473,2,0,0,1,A
15,18,25,3,1,0,2,1,25,473,2,0,0,1,A
15,18,26,46,1,1,2,1,25,473,1,0,0,1,A
15,18,27,25,1,0,2,1,25,473,1,1,1,1,A
15,18,28,17,0,1,2,1,25,473,1,0,0,1,A
15,18,29,51,1,1,2,1,25,473,2,1,1,1,A
15,18,40,57,1,1,2,1,25,473,2,1,3,1,A
15,18,41,57,1,1,2,1,25,473,2,1,4,1,A
15,18,42,82,0,1,2,1,25,473,1,1,3,1,A
16,16,37,61,1,1,2,1,25,473,1,1,3,1,A
17,18,24,36,1,0,2,1,25,473,2,0,0,1,A
18,17,38,40,1,1,2,1,25,473,2,0,1,1,A
18,17,39,41,1,1,2,1,25,473,2,0,1,1,A
19,1,0,35,0,1,2,1,36,324,2,0,0,1,A
19,1,1,52,0,1,2,1,36,324,0,0,0,1,B
19,1,2,23,0,1,2,1,36,324,1,0,0,1,B
20,5,5,59,0,1,2,1,36,324,2,1,3,1,B
21,3,3,67,0,1,2,1,36,324,0,1,5,1,B
22,2,4,69,0,1,2,1,36,324,0,1,5,1,B
22,1,6,80,0,1,2,1,36,324,2,1,3,1,A
22,4,7,84,0,1,2,1,36,324,0,1,3,1,A
23,20,43,1,1,0,2,1,36,324,1,0,0,1,A
23,20,44,20,1,0,2,1,36,324,1,0,0,1,A
23,20,52,70,1,1,2,1,36,324,1,1,3,1,A
23,20,53,70,1,1,2,1,36,324,1,1,3,1,A
24,23,45,26,1,0,2,1,36,324,1,0,0,1,A
24,23,46,42,1,1,2,1,36,324,2,0,0,1,A
24,24,49,55,1,1,2,1,36,324,2,1,3,1,A
24,23,50,68,0,1,2,1,36,324,0,1,3,1,B
25,26,47,43,1,0,2,1,36,324,1,0,0,1,A
25,21,48,49,1,1,2,1,36,324,2,1,2,1,A
26,0,13,85,1,1,2,1,25,473,2,1,3,1,A
26,11,14,76,1,1,2,1,25,473,2,1,3,1,A
27,21,54,49,1,1,2,1,36,324,2,1,4,1,A
28,25,51,68,0,1,2,1,36,324,0,1,3,1,B
29,22,55,83,0,1,2,1,36,324,1,1,3,1,A
30,6,8,27,1,0,2,0,27,360,1,0,0,1,A
31,43,78,8,1,0,2,1,36,324,1,0,1,1,A
32,31,63,81,0,1,1,1,36,324,1,1,3,1,C
33,27,56,2,1,0,2,1,49,248,1,0,0,1,A
33,27,57,34,1,1,2,1,49,248,2,1,3,1,A
33,27,58,62,1,0,2,1,49,248,1,1,3,1,A
34,28,59,38,1,0,2,1,49,248,2,0,0,1,A
34,28,60,63,0,1,2,1,49,248,2,1,3,1,B
35,44,79,78,1,1,2,1,36,324,1,1,3,1,A
36,29,61,74,1,1,2,1,49,248,2,1,4,1,A
37,30,62,77,0,1,2,1,49,248,2,1,3,0,C
38,35,68,7,1,0,2,1,64,189,1,0,0,1,C
39,51,89,18,1,0,2,1,64,189,1,0,0,1,A
40,37,70,54,0,1,2,1,64,189,0,1,5,1,C
41,36,69,33,1,1,2,1,64,189,2,1,3,1,B
42,38,71,56,1,1,2,1,64,189,2,1,3,1,B
43,39,72,71,0,1,0,1,64,189,0,1,3,0,C
44,52,90,73,1,1,0,1,49,248,1,1,3,0,B
45,47,81,37,1,0,1,1,81,144,1,1,1,1,A
45,47,82,15,1,0,1,1,81,144,1,1,1,1,A
